ballc	wgbstools	dmpp_dedup	dmpp_bam
mCFrac	ENCFF072EDU.dedup	mean_meth	mean_meth
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
0.772727	0.590909	0.583333	0.583333
0.600000	0.200000	0.200000	0.200000
0.666667	0.333333	0.333333	0.333333
0.823529	0.823529	0.823529	0.823529
0.634146	0.525000	0.525000	0.525000
0.503817	0.224000	0.204380	0.194805
0.705686	0.331058	0.328814	0.325175
0.774603	0.587097	0.586538	0.577922
0.714286	0.463768	0.457143	0.457143
0.633205	0.185039	0.186047	0.192000
0.808333	0.554622	0.554622	0.547826
0.846154	0.576923	0.609756	0.609756
0.673333	0.282895	0.279221	0.278146
0.870504	0.760870	0.755245	0.753521
0.689189	0.414966	0.412162	0.412162
0.901235	0.844156	0.829268	0.827160
0.816901	0.712329	0.715909	0.715909
0.852941	0.769231	0.746667	0.739726
0.855263	0.734177	0.725000	0.725000
0.891473	0.720930	0.723077	0.725191
0.802083	0.642105	0.630000	0.630000
0.733333	0.527027	0.527027	0.520548
0.842520	0.704000	0.700787	0.697674
0.636986	0.377622	0.377622	0.381295
0.595000	0.311224	0.309645	0.274194
0.854545	0.761468	0.756757	0.768519
0.823529	0.651163	0.636364	0.639535
0.691358	0.280488	0.268293	0.261905
0.662338	0.168831	0.157895	0.157895
0.575472	0.192308	0.194444	0.198113
0.518717	0.016216	0.016129	0.016129
0.741176	0.482353	0.482759	0.482759
0.593750	0.163934	0.149254	0.151515
0.611570	0.336134	0.333333	0.325000
0.774194	0.417582	0.413043	0.411111
0.648276	0.430556	0.430556	0.438849
0.568807	0.120370	0.120370	0.121495
0.730769	0.559055	0.546154	0.546154
0.609929	0.241135	0.236111	0.241135
0.689024	0.288344	0.278107	0.274854
0.775194	0.614173	0.618321	0.618321
0.946309	0.904110	0.904762	0.904110
0.896825	0.666667	0.651163	0.651163
0.983333	0.888268	0.883978	0.883978
0.471204	0.100000	0.092683	0.100529
0.434211	0.038793	0.037344	0.040359
0.582840	0.218563	0.214485	0.218391
0.644860	0.289720	0.287037	0.301887
0.923977	0.776471	0.776536	0.775281
0.981818	0.944444	0.944444	0.946429
0.906667	0.800000	0.800000	0.802817
0.660377	0.226415	0.226415	0.224299
0.970149	0.898551	0.887324	0.887324
0.662791	0.186047	0.186813	0.183333
0.751852	0.455556	0.454212	0.454212
0.844262	0.647541	0.647541	0.661017
0.929204	0.734513	0.714286	0.730435
0.655063	0.340836	0.340836	0.324415
0.727700	0.365385	0.371429	0.369668
0.722222	0.360190	0.366197	0.364486
0.830769	0.624060	0.619403	0.621212
0.855556	0.784091	0.784091	0.793103
0.843972	0.588652	0.572414	0.580420
0.704036	0.538462	0.548673	0.553097
0.838095	0.695238	0.688679	0.685714
0.907563	0.783333	0.776860	0.774194
0.736842	0.466667	0.462264	0.451456
0.816993	0.597403	0.594937	0.600000
0.490196	0.183673	0.176471	0.176471
0.746269	0.492308	0.500000	0.500000
0.729167	0.489362	0.479167	0.468085
0.764151	0.632075	0.633929	0.639640
0.704225	0.605634	0.605634	0.611111
0.787565	0.500000	0.505155	0.507772
0.738095	0.475000	0.463415	0.456790
0.732143	0.357143	0.357143	0.345455
0.666667	0.377907	0.375723	0.375723
0.732558	0.526316	0.514286	0.514286
0.632353	0.223881	0.214286	0.214286
0.641026	0.423077	0.417722	0.402597
0.808333	0.525424	0.529412	0.529412
0.752294	0.583333	0.594595	0.594595
0.886364	0.777778	0.760870	0.760870
0.864000	0.704918	0.707317	0.707317
0.750000	0.468750	0.477612	0.477612
0.641304	0.173913	0.172043	0.175824
0.725275	0.436464	0.431694	0.411458
0.881356	0.714286	0.708333	0.716667
0.456140	0.122807	0.120690	0.120690
0.920000	0.520000	0.500000	0.500000
0.683453	0.433566	0.451389	0.450704
0.560847	0.319372	0.326425	0.324607
0.953333	0.878378	0.878378	0.888112
0.756906	0.541436	0.548387	0.548387
0.810127	0.561290	0.554140	0.577640
0.875000	0.748252	0.739726	0.734266
0.603550	0.311765	0.323699	0.327485
0.551913	0.060773	0.059783	0.059783
0.630814	0.224490	0.226361	0.239521
0.851695	0.634043	0.634454	0.631356
0.956522	0.933333	0.934783	0.934783
0.951220	0.914634	0.919540	0.918605
0.946903	0.883929	0.871795	0.871795
0.974026	0.948052	0.941176	0.937931
0.981308	0.951923	0.942857	0.942308
0.697531	0.370370	0.365854	0.354037
0.969388	0.908163	0.891089	0.891089
0.886364	0.755814	0.755556	0.750000
0.846154	0.676923	0.670000	0.663265
0.866667	0.622222	0.622222	0.613636
0.880952	0.666667	0.666667	0.666667
0.769231	0.121212	0.121212	0.121212
0.770270	0.280000	0.280000	0.280000
0.821138	0.639344	0.629032	0.626016
0.635688	0.317164	0.314815	0.314607
0.750000	0.617647	0.617647	0.617647
0.755245	0.357143	0.357143	0.357143
0.900826	0.863248	0.841667	0.841667
0.669014	0.250000	0.248227	0.248227
0.812139	0.687135	0.686441	0.686782
0.962264	0.925926	0.925926	0.925926
0.944444	0.769231	0.769231	0.769231
0.913669	0.753731	0.748148	0.623457
0.955307	0.848315	0.843575	0.844444
0.898990	0.717172	0.722772	0.728155
0.934579	0.857143	0.849057	0.849057
0.923077	0.615385	0.615385	0.615385
0.909091	0.545455	0.545455	0.545455
0.891892	0.783784	0.783784	0.783784
0.905660	0.857143	0.849057	0.850467
0.909091	0.865979	0.857143	0.855670
0.824324	0.650685	0.655629	0.653061
0.686667	0.496599	0.500000	0.503401
0.930693	0.802676	0.796053	0.791946
0.966667	0.916667	0.917127	0.916201
0.926316	0.863158	0.876190	0.891089
0.893939	0.830769	0.812500	0.825397
0.833333	0.650000	0.650000	0.650000
0.767241	0.586207	0.578512	0.578512
