ballc	wgbstools	dmpp_dedup	dmpp_bam
mCFrac	ENCFF790EEU.dedup	mean_meth	mean_meth
0.227991	0.228507	0.246914	0.240695
0.384091	0.384793	0.426735	0.403846
0.377593	0.367521	0.359307	0.360515
0.800554	0.802778	0.801802	0.793785
0.324324	0.325424	0.295455	0.301471
0.558824	0.557756	0.584559	0.587189
0.162562	0.160891	0.167102	0.165432
0.951163	0.951163	0.951574	0.946512
0.779160	0.776050	0.774960	0.780864
0.422872	0.424000	0.425474	0.435484
0.445585	0.445361	0.443207	0.433551
0.566514	0.567816	0.579327	0.572770
0.080645	0.080863	0.081169	0.078788
0.176647	0.178248	0.173502	0.172956
0.952797	0.954225	0.957721	0.953982
0.723447	0.722334	0.721074	0.728175
0.640986	0.640867	0.633058	0.605740
0.762542	0.762542	0.769504	0.763066
0.595506	0.594747	0.605010	0.619403
0.666667	0.665848	0.666250	0.668281
0.508301	0.507712	0.507792	0.508156
0.968966	0.972222	0.971429	0.968858
0.941860	0.941634	0.943026	0.943798
0.936219	0.936073	0.933174	0.928899
0.834375	0.839623	0.836667	0.817881
0.638686	0.638686	0.630597	0.636364
0.548312	0.547897	0.547733	0.538908
0.612676	0.614657	0.623501	0.621810
0.957507	0.960000	0.955490	0.956772
0.944643	0.944444	0.940952	0.940559
0.367876	0.368146	0.383070	0.390999
0.938462	0.937888	0.951140	0.951923
0.971326	0.973978	0.976923	0.974265
0.964602	0.967359	0.977848	0.968553
0.595628	0.595628	0.612717	0.621469
0.940171	0.942857	0.947853	0.947674
0.643312	0.641270	0.638710	0.641935
0.520646	0.522523	0.534579	0.534579
0.599349	0.599349	0.599303	0.608108
0.502451	0.502451	0.494898	0.506266
0.897019	0.897019	0.898017	0.895028
0.635440	0.638952	0.634660	0.629966
0.907621	0.907193	0.915212	0.916256
0.728169	0.729196	0.743704	0.739568
0.943522	0.943333	0.948365	0.944828
0.294444	0.297753	0.309735	0.321637
0.882222	0.885556	0.884428	0.894063
0.414373	0.413846	0.422259	0.425121
0.445910	0.445910	0.451351	0.449495
0.417508	0.421769	0.420339	0.424837
0.693717	0.693824	0.691563	0.682497
0.669774	0.670227	0.666667	0.659310
0.857143	0.860000	0.866438	0.860390
0.956767	0.958491	0.963035	0.964286
0.294221	0.295775	0.293135	0.295749
0.600791	0.606667	0.610959	0.605369
0.943580	0.942801	0.942688	0.941634
0.575321	0.574879	0.588640	0.587542
0.462500	0.462500	0.462541	0.458065
0.962264	0.962162	0.960227	0.963788
0.884170	0.883721	0.881148	0.883065
0.918367	0.917808	0.919708	0.920290
0.957219	0.957219	0.955556	0.951087
0.933962	0.933962	0.938462	0.927835
0.428377	0.429752	0.441135	0.429539
0.960912	0.960784	0.962585	0.960396
0.222222	0.222222	0.224599	0.247525
0.099291	0.097015	0.097561	0.095238
0.050633	0.051064	0.049751	0.050000
0.156863	0.157635	0.162437	0.162562
0.188525	0.188525	0.174312	0.169643
0.947222	0.947222	0.946023	0.944290
0.244361	0.245283	0.226087	0.235537
0.816216	0.813699	0.821326	0.833780
0.331707	0.331148	0.310954	0.313458
0.104167	0.100000	0.095745	0.091153
0.425714	0.426513	0.423977	0.425287
0.217172	0.218274	0.214286	0.228426
0.588477	0.590909	0.604444	0.589212
0.782979	0.782051	0.777778	0.772152
0.063492	0.063694	0.063694	0.061047
0.971910	0.971671	0.970501	0.975069
0.488038	0.487981	0.483709	0.474820
0.972152	0.972081	0.973118	0.968992
0.883382	0.883382	0.884146	0.879880
0.942943	0.942943	0.942857	0.929204
0.091816	0.092555	0.093306	0.091816
0.479751	0.479751	0.485149	0.477564
0.232558	0.233333	0.235897	0.232673
0.474255	0.472826	0.473088	0.476323
0.605809	0.606648	0.621100	0.622478
0.848416	0.847727	0.850467	0.860045
0.365196	0.366093	0.361979	0.359801
0.714118	0.716152	0.704172	0.712247
0.646857	0.648618	0.643210	0.653442
0.956303	0.957770	0.956446	0.956672
0.882927	0.882353	0.879795	0.871605
0.715543	0.714706	0.710366	0.718750
0.184211	0.184211	0.190476	0.203540
0.405093	0.405093	0.410072	0.406032
0.529183	0.529183	0.536885	0.527559
0.555838	0.555838	0.554054	0.548128
0.547445	0.547445	0.545220	0.539642
0.423077	0.423786	0.429630	0.434164
0.791667	0.791667	0.837209	0.826087
0.632184	0.632184	0.637500	0.639535
0.549637	0.549878	0.544081	0.555012
0.951020	0.950311	0.949791	0.949084
0.859857	0.859524	0.860349	0.862319
0.018349	0.018349	0.016349	0.014493
0.972973	0.972810	0.981132	0.975155
0.946341	0.946210	0.953125	0.954315
0.353135	0.353135	0.345588	0.351254
0.558140	0.559585	0.573003	0.574074
0.381526	0.370370	0.368889	0.374468
0.239852	0.237037	0.240310	0.236220
0.418981	0.417633	0.408654	0.409091
0.104683	0.103064	0.107649	0.094086
0.215000	0.215000	0.220513	0.231527
0.026316	0.026316	0.026667	0.026667
0.086614	0.086957	0.084337	0.082677
0.027027	0.027027	0.027211	0.025478
0.178707	0.179389	0.177419	0.177866
0.118519	0.118519	0.106557	0.105691
0.133641	0.135514	0.130841	0.136986
0.030303	0.030303	0.000000	0.000000
0.035294	0.035714	0.035294	0.033708
0.000000	0.000000	0.000000	0.022727
0.298701	0.300654	0.296053	0.295181
0.030837	0.030973	0.030837	0.025862
0.083333	0.084507	0.083333	0.081081
0.106952	0.107527	0.108108	0.110526
0.210526	0.210526	0.210526	0.210526
0.102564	0.102564	0.078947	0.052632
0.000000	0.000000	0.000000	0.000000
0.028369	0.028369	0.028986	0.041096
0.203704	0.194969	0.212903	0.201299
NA	NA	NA	NA
NA	NA	NA	NA
0.031746	0.031746	0.031746	0.030303
0.050000	0.050000	0.050000	0.050000
0.143750	0.143750	0.146497	0.129630
0.000000	NA	0.000000	0.000000
0.214953	0.215625	0.215232	0.211726
0.096234	0.096234	0.098712	0.097458
0.000000	0.000000	0.000000	0.000000
0.256410	0.256410	0.270270	0.270270
0.075758	0.075758	0.079365	0.092308
0.000000	0.000000	0.000000	0.000000
0.032258	0.032258	0.032258	0.030303
0.092308	0.092784	0.095238	0.093750
0.073171	0.061728	0.073171	0.071429
0.026042	0.026042	0.026042	0.030457
0.322314	0.319502	0.317797	0.316456
0.303797	0.299363	0.311688	0.293750
0.146825	0.146825	0.145161	0.151394
0.077778	0.077778	0.073864	0.071038
0.123932	0.131356	0.113122	0.113122
0.361423	0.361423	0.357430	0.358300
0.300505	0.297710	0.297927	0.292929
0.288889	0.286932	0.282799	0.290960
0.184971	0.186047	0.186944	0.186589
0.212766	0.212766	0.216912	0.211268
0.635824	0.636905	0.626566	0.623153
0.124498	0.125000	0.105932	0.105263
0.344828	0.346154	0.353909	0.353909
0.039216	0.039216	0.037162	0.030100
0.109215	0.109589	0.098540	0.097826
0.197952	0.198630	0.198556	0.207483
0.009009	0.009070	0.006834	0.006696
0.368159	0.370000	0.376963	0.347619
0.393586	0.391813	0.414330	0.413374
0.950000	0.950000	0.953623	0.956873
0.798851	0.798851	0.798165	0.816265
0.401060	0.401060	0.393996	0.404762
0.562044	0.563071	0.560297	0.565766
0.466667	0.466437	0.459220	0.461140
0.144393	0.143963	0.153465	0.162119
0.152941	0.153302	0.150510	0.146835
0.528184	0.528184	0.521739	0.523707
0.606860	0.607427	0.609626	0.617801
0.429091	0.429091	0.436567	0.433824
0.451220	0.451049	0.445652	0.440972
0.016794	0.016820	0.014469	0.014129
0.925301	0.924939	0.925000	0.926471
0.922872	0.922667	0.918079	0.919786
0.820359	0.820000	0.824635	0.815789
0.410901	0.412632	0.398230	0.397463
0.311337	0.311337	0.308530	0.307155
0.723270	0.724211	0.721133	0.715812
0.464968	0.467949	0.468647	0.480892
0.097289	0.098229	0.097682	0.108943
0.934524	0.934328	0.936709	0.941538
0.048055	0.048165	0.045872	0.050343
0.284738	0.284738	0.278177	0.266055
0.283721	0.283721	0.279793	0.298578
0.375000	0.363636	0.367232	0.368132
0.495708	0.496774	0.502242	0.507559
0.415686	0.415686	0.403226	0.396296
0.549080	0.549080	0.540193	0.540373
